timestep	N2	N3	N4
0	0.0013597868365927844	0.0008306020526208122	-4.062411804553791e-06
1	0.0010132214141618007	0.0018792019326130602	3.313928810559096e-05
2	0.0010816864910044963	0.0016944580344831614	-0.0008623449406673128
3	0.0014457133733154904	0.0017549252858860922	0.00019805124061934775
4	0.0007654509553780462	0.0018189155994303543	-0.0002022991793376443
5	0.00023287540701265015	0.002250168737055914	-0.0009336860399735412
6	-2.287796866649698e-05	0.0016863433911068896	0.0010347360928352975
7	0.0007758886857358301	0.002391538811165853	-0.0006331052250799175
8	7.588873984332156e-05	0.002296893629706604	-0.0007544276057143216
9	-4.605595673434293e-05	0.0022277769135263725	-0.00033229313096537537
10	-0.0002778572936584084	0.002529917481074215	-0.000786939194404538
11	0.00010950631965723004	0.0024021559493718277	-0.0010681085471460098
12	0.000415728533917975	0.002082679284997787	-0.00034857867189000614
13	0.0006662948474514016	0.0024792993070223137	-0.0003645839366671446
14	-0.00038077398519816214	0.0033960498117032154	5.422778113993139e-05
15	0.0011593669254313572	0.0023334390679378924	-0.0006796943705526699
16	0.0003208882429772532	0.003173782411120321	0.0003588905041148042
17	0.0006003981955771333	0.0030937247476847305	-0.00048615538288136344
18	0.00035886911609178695	0.002645813402626397	-0.00028978110944257124
19	0.0007901973164190787	0.003035300077170582	-0.0016233308110583883
20	0.0006296833287209061	0.0013103925220264213	-0.00042325256500087334
21	0.0003251394310205268	0.0014350848924866441	-0.000512806578979035
22	0.0007844535290998944	0.0014407053480085057	0.00010677256590237909
23	0.00021654701687964892	0.0006491897719819162	5.006217336638339e-05
24	0.0010434399567387383	0.001127771797569098	8.740672454605542e-05
25	0.0003365999086881329	0.0008747163933048211	8.711269366297838e-05
26	0.000262124854593882	0.0012360773253780924	-0.00021297153208356601
27	-0.00032039706615246875	0.0012954546224031892	0.0002327742557429495
28	-0.00041737589908665354	0.0016132092119927367	-0.0007747393007870023
29	-0.00016451670911351256	0.0013946253614358227	-0.0001385073421285172
30	-0.00012862043411443827	0.0016162111933571213	-0.00034390362240262293
31	0.00016682561720715106	0.0017780200872387834	-0.0005323982313322022
32	-0.000862556434361508	0.001552818237377955	0.0003982470669037025
33	0.0006793823752859829	0.0016945268654194527	-0.0004777980478869826
34	0.00010250131782544496	0.0023644941479008925	-0.0009740933007417981
35	-3.207201657776332e-05	0.000815605371097291	-0.00026342557995683176
36	0.00011974054980953038	0.00150474826158215	-0.0003349886793863949
37	0.00024220382464392462	0.0014615924485666151	-0.0009527847252642115
38	0.000156114020758832	0.0016427466799268967	-0.0001666040836932067
39	-6.665923233711065e-05	0.0014907969773487752	-0.00012156709116993895
40	7.14741754422152e-06	0.001729328571131465	-0.0004943438641615142
41	0.00018276848159619634	0.0015574236276042043	0.0007171108045208788
42	0.0006939941810189482	0.0016737899090407877	-0.0004866048151496666
43	0.00044474532931486495	0.002120029037969807	0.0005919142100087483
44	0.0004874845297145947	0.0007013650424148692	0.0011819494141324057
45	0.0008672375422546011	0.0005396664860709145	0.0003428461200231138
46	6.308684322701573e-05	0.001414336038842899	0.00031047511605961184
47	-0.0007032795149973215	0.0014543976514713505	0.0008212894951960869
48	4.1190115707527303e-05	0.0012716861961570636	0.00043168424736660766
49	-0.00023746950301579842	0.002462550406621876	0.00010674299393507688
50	0.0004550782288337725	0.0012083497604751289	-0.0001399783081760923
51	-0.00013012731690075266	0.0019603426554690743	-0.0006971968038702664
52	0.0002030159022117186	0.0008012116027720166	-0.0006009072495689802
53	-0.0004651866733271485	0.0006489413142315968	-0.0009687244531124096
