timestep	atom	Ei_x	Ei_y	Ei_z	E_out
30	N2	-0.0025824276224220744	-0.03836380208909434	0.03215189772863264	0.019261385941559947
30	N3	-0.04498158770774793	-0.020585940554413398	0.008519045456252431	
30	N4	-0.018269912033836433	0.003338818911825636	0.05464133103658042	
31	N2	-0.004971447447961913	-0.038348010145059515	0.024169015725480986	0.015757893382382766
31	N3	-0.04920193418106116	-0.026415289812819504	-0.0008081928521898314	
31	N4	-0.018859737830160088	0.0016117944092885607	0.05080322925389486	
32	N2	-0.009649934936583136	-0.03944317982143209	0.02301388413472294	0.019306189105846472
32	N3	-0.059359357920889054	-0.027980448687477687	-0.001184820868038801	
32	N4	-0.023235597796875215	0.002969180717474057	0.053048458438910026	
33	N2	-0.01986484545634149	-0.035062409768009166	0.015237138338594719	0.023062453382926798
33	N3	-0.056107617287209255	-0.021959334077726853	-0.006628151613016547	
33	N4	-0.024393664801983947	0.004941494805099618	0.04476820250818058	
34	N2	-0.017625447587170242	-0.03800205164002154	0.01697546161648407	0.02174544407691981
34	N3	-0.05250897217453482	-0.01873870580648482	-0.009316898842990811	
34	N4	-0.018851334114229127	0.00032145051871525416	0.04667598622196605	
35	N2	-0.017280574599972145	-0.04129042839011827	0.01463158935672778	0.018171302780160672
35	N3	-0.03525981115827763	-0.01688169548030439	-0.007483378781114051	
35	N4	-0.020451941075012428	-0.003559489125695721	0.041164162833244984	
36	N2	-0.015469775778528054	-0.04180931863248723	0.014174095625714258	0.01807712197526283
36	N3	-0.02459979397183853	-0.012403615917889542	-0.014097497247631601	
36	N4	-0.01764505303981264	-0.006171268902323087	0.03462759824552682	
37	N2	-0.01008587221250886	-0.038001464017648194	0.011708970685485005	0.012229720818630935
37	N3	-0.021106389226043305	-0.01372859397661089	-0.0202717826858859	
37	N4	-0.016211198074543725	-0.008218416162600089	0.02901159261312042	
38	N2	-0.01038210811418341	-0.03674769954833272	0.015385182072004998	0.01663092804843339
38	N3	-0.02432838905605026	-0.014361050498929898	-0.01700200286808609	
38	N4	-0.019928820580973727	-0.007617957571703107	0.02440365570977007	
39	N2	-0.009380935622130361	-0.03301815998068726	0.013985080069244902	0.015606485239087321
39	N3	-0.031989503963857115	-0.015197836085792395	-0.016425705550759034	
39	N4	-0.018899367774507587	-0.007222348912628048	0.018483668579944684	
40	N2	-0.01085485673440708	-0.0355748210023891	0.010778683473766726	0.013756283242762728
40	N3	-0.03720798932499031	-0.02314724714693426	-0.013564343217614957	
40	N4	-0.017478710426078705	-0.010418519652521836	0.015940758067762604	
41	N2	-0.011260587466156727	-0.03500378989443559	0.009452512400333991	0.012738035643492601
41	N3	-0.036932847238176504	-0.017230925345667586	-0.008102239903032625	
41	N4	-0.015898570301902268	-0.002648368295631383	0.01728331174621158	
42	N2	-0.011762030892224195	-0.03785859341135651	0.0068325515351317385	0.011738120771428634
42	N3	-0.04010928593269805	-0.01834808291411701	-0.008456993163448178	
42	N4	-0.013002045512137511	0.002900166952307635	0.02584371357553413	
43	N2	-0.008772039294921886	-0.030489788141800703	0.009621815684372297	0.010400410290341687
43	N3	-0.037519559480891584	-0.01446157029700837	-0.00716033561927067	
43	N4	-0.006420318249482942	0.010279865463806121	0.036471180885074755	
44	N2	-0.005512194077470643	-0.0158350064200376	0.017683167237803967	0.010823759494013938
44	N3	-0.03750945327648647	-0.014534293424655287	-0.0036544002793230954	
44	N4	-0.007706243787234264	0.01279515765351026	0.03765798415296916	
45	N2	0.002370833116513424	-0.011590801509020766	0.02400840890703269	0.008237631270858917
45	N3	-0.0389722964601749	-0.012136753074286194	0.001440571890473297	
45	N4	-0.007822429777896413	0.013138596504716714	0.04399852588378048	
46	N2	0.003097711784347377	-0.0059802610284515716	0.027001781192956435	0.010939495447939316
46	N3	-0.03777254200221181	-0.005540361387044477	0.0009608780088826163	
46	N4	-0.007941128470938145	0.016515689149849227	0.042662947492253155	
47	N2	0.002022645504307975	-0.01054124123751039	0.032168999858529564	0.014305927026770218
47	N3	-0.036737881289956704	-0.004618858196801041	0.0063787903160981985	
47	N4	-0.00825288677899039	0.017273338256747407	0.03813211091634188	
48	N2	-0.002108838443866489	-0.010461426445456943	0.033002155143857514	0.018359489051432424
48	N3	-0.036679875957534316	-0.003175232736309306	0.009229636562022563	
48	N4	-0.01091168532662243	0.018713497610168408	0.04159999432741829	
49	N2	0.000863581729242042	-0.0040458192830500755	0.03434692193007381	0.017803829872509423
49	N3	-0.03686416297735294	-0.00018650494488678306	0.0062247277860630525	
49	N4	-0.00966528990839896	0.018123082747197445	0.04634282904446689	
50	N2	-0.0020535006053104036	0.0010661051706238919	0.03534890710712347	0.022639935797955927
50	N3	-0.037416534842422335	0.0077350182546948535	0.005868871785011042	
50	N4	-0.009543457807946416	0.02238330221836231	0.047524435724334395	
